sku,category,price
sku0142,Misc,299.59
sku0143,Misc,606.72
sku0144,Faucets,222.76
sku0145,Faucets,537.47
sku0146,Misc,1128.55
sku0147,Faucets,3564.94
sku0148,Toilets,2798.58
sku0149,Faucets,62.78
sku0150,Faucets,359.87
sku0151,Showers,4836.38
sku0152,Showers,2840.5
sku0153,Toilets,1016.47
sku0154,Toilets,1261.63
sku0155,Misc,3719.13
sku0156,Showers,977.15
sku0157,Toilets,2906.79
sku0158,Showers,4850.1
sku0159,Toilets,4234.14
sku0160,Faucets,1199.24
sku0161,Toilets,2468.85
sku0162,Faucets,3099.78
sku0163,Misc,4144.9
sku0164,Faucets,783.96
sku0165,Showers,92.88
sku0166,Faucets,350.11
sku0167,Faucets,2431.73
sku0168,Misc,3031.65
sku0169,Misc,2844.26
sku0170,Faucets,1586.81
sku0171,Faucets,4943.08
sku0172,Misc,2898.73
sku0173,Faucets,1900.71
sku0174,Toilets,2754.74
sku0175,Showers,3726.67
sku0176,Toilets,3346.16
sku0177,Faucets,1324.6
sku0178,Misc,331.67
sku0179,Toilets,1850.42
sku0180,Toilets,3148.59
sku0181,Showers,1050.87
sku0182,Toilets,3763.78
sku0183,Misc,332.68
sku0184,Showers,1301.58
sku0185,Showers,4023.77
sku0186,Faucets,967.17
sku0187,Misc,3197.3
sku0188,Faucets,2623.35
sku0189,Showers,4624.04
sku0190,Misc,1316.48
sku0191,Showers,329.81
sku0192,Faucets,3675.33
sku0193,Faucets,3860.89
sku0194,Showers,4539.08
sku0195,Toilets,4659.86
sku0196,Showers,69.76
sku0197,Misc,1171.81
sku0198,Faucets,3083.89
sku0199,Faucets,4745.08
sku0200,Showers,4750.88
sku0201,Faucets,2783.27
sku0202,Faucets,4578.03
sku0203,Showers,3207.83
sku0204,Showers,1950.04
sku0205,Showers,2429.95
sku0206,Showers,3021.55
sku0207,Faucets,2747.74
sku0208,Showers,4630.91
sku0209,Faucets,4593.67
sku0210,Showers,1974.38
sku0211,Showers,4816.31
sku0212,Faucets,869.78
sku0213,Misc,631.65
sku0214,Showers,675.4
sku0215,Showers,2528.31
sku0216,Misc,107.62
sku0217,Misc,4739.85
sku0218,Toilets,4135.58
sku0219,Toilets,75.09
sku0220,Showers,880.98
sku0221,Misc,1660.32
sku0222,Toilets,654.98
sku0223,Toilets,4047.45
sku0224,Faucets,1723.68
sku0225,Faucets,4700.54
sku0226,Faucets,2910.07
sku0227,Faucets,4394.16
sku0228,Faucets,4223.67
sku0229,Toilets,4526.96
sku0230,Faucets,2299.4
sku0231,Misc,2731.73
sku0232,Faucets,3993.02
sku0233,Toilets,1428.59
sku0234,Misc,2451.27
sku0235,Misc,2995.55
sku0236,Faucets,77.67
sku0237,Toilets,2967.41
sku0238,Showers,2168.38
sku0239,Faucets,4036.8
sku0240,Showers,1576.22
sku0241,Showers,4464.44
sku0242,Toilets,2889.29
sku0243,Toilets,920.05
sku0244,Showers,3939.65
sku0245,Showers,3060.16
sku0246,Faucets,269.55
sku0247,Faucets,2100.97
sku0248,Showers,3395.34
sku0249,Faucets,4593.01
sku0250,Faucets,2.01
sku0251,Misc,4883.8
sku0252,Misc,1882.9
sku0253,Toilets,4868.92
sku0254,Misc,3023.58
sku0255,Misc,4144.23
sku0256,Faucets,2873.56
sku0257,Faucets,3140.38
sku0258,Showers,1427.88
sku0259,Toilets,2934.17
sku0260,Showers,3750.11
sku0261,Toilets,4291.57
sku0262,Misc,3775.41
sku0263,Showers,3490.29
sku0264,Toilets,4322.4
sku0265,Toilets,1613.4
sku0266,Showers,3353.94
sku0267,Faucets,2254.37
sku0268,Showers,1910.51
sku0269,Toilets,2054.06
sku0270,Faucets,2007.4
sku0271,Toilets,1586.92
sku0272,Toilets,3109.6
sku0273,Faucets,2151.24
sku0274,Toilets,4869.01
sku0275,Misc,3389.0
sku0276,Toilets,992.85
sku0277,Toilets,2133.51
sku0278,Showers,1716.73
sku0279,Showers,3988.19
sku0280,Toilets,4399.99
sku0281,Misc,4519.21
sku0282,Faucets,3313.6
sku0283,Showers,1351.04
sku0284,Toilets,1261.83
sku0285,Toilets,4274.49
sku0286,Misc,2638.57
sku0287,Faucets,4010.81
sku0288,Faucets,2862.44
sku0289,Misc,3665.71
sku0290,Showers,2595.06
sku0291,Showers,3854.42
sku0292,Toilets,2844.29
sku0293,Showers,2328.55
sku0294,Toilets,1713.44
sku0295,Faucets,341.05
sku0296,Faucets,1889.62
sku0297,Toilets,398.13
sku0298,Toilets,4914.09
sku0299,Misc,908.06
sku0300,Misc,4059.29
sku0301,Misc,4374.81
sku0302,Showers,3442.07
sku0303,Misc,2847.47
sku0304,Faucets,804.86
sku0305,Toilets,2334.4
sku0306,Faucets,1725.86
sku0307,Toilets,1125.2
sku0308,Misc,2962.56
sku0309,Misc,1561.35
sku0310,Showers,4581.53
sku0311,Faucets,4548.18
sku0312,Toilets,1285.59
sku0313,Showers,554.46
sku0314,Faucets,964.81
sku0315,Showers,2497.92
sku0316,Toilets,3642.93
sku0317,Toilets,1040.97
sku0318,Faucets,1240.17
sku0319,Faucets,4258.36
sku0320,Faucets,2079.24
sku0321,Toilets,3083.43
sku0322,Toilets,1168.33
sku0323,Faucets,509.84
sku0324,Misc,2579.29
sku0325,Faucets,2385.7
sku0326,Faucets,763.36
sku0327,Misc,3109.03
sku0328,Misc,2720.05
sku0329,Misc,3270.69
sku0330,Faucets,722.73
sku0331,Misc,3757.64
sku0332,Faucets,1110.25
sku0333,Toilets,2596.76
sku0334,Misc,3926.48
sku0335,Misc,111.65
sku0336,Showers,1621.81
sku0337,Showers,4364.61
sku0338,Faucets,4223.55
sku0339,Misc,2692.2
sku0340,Faucets,4333.04
sku0341,Misc,4749.03
sku0342,Showers,4132.03
sku0343,Misc,4270.58
sku0344,Misc,493.72
sku0345,Showers,3256.52
sku0346,Faucets,3517.58
sku0347,Showers,3051.2
sku0348,Toilets,3998.08
sku0349,Faucets,172.86
sku0350,Misc,3851.19
sku0351,Toilets,3658.64
sku0352,Showers,1298.49
sku0353,Toilets,1285.35
sku0354,Toilets,3161.52
sku0355,Faucets,1726.49
sku0356,Faucets,3982.94
sku0357,Misc,2230.73
sku0358,Faucets,3913.75
sku0359,Toilets,4952.36
sku0360,Toilets,1501.24
sku0361,Faucets,715.03
sku0362,Toilets,4506.54
sku0363,Toilets,2707.8
sku0364,Misc,4873.7
sku0365,Faucets,3183.02
sku0366,Showers,4969.57
sku0367,Showers,2730.35
sku0368,Showers,2632.13
sku0369,Misc,677.14
sku0370,Showers,1778.53
sku0371,Faucets,131.09
sku0372,Showers,801.98
sku0373,Toilets,3728.19
sku0374,Toilets,152.0
sku0375,Toilets,1832.72
sku0376,Misc,4311.73
sku0377,Toilets,3463.39
sku0378,Toilets,3454.71
sku0379,Toilets,943.18
sku0380,Toilets,2209.52
sku0381,Showers,2907.89
sku0382,Showers,4948.76
sku0383,Misc,1019.53
sku0384,Toilets,1238.66
sku0385,Showers,1310.87
sku0386,Misc,3750.86
sku0387,Misc,2284.88
sku0388,Misc,284.65
sku0389,Toilets,2542.58
sku0390,Faucets,1059.8
sku0391,Toilets,3993.02
sku0392,Misc,1486.66
sku0393,Toilets,138.03
sku0394,Toilets,2967.16
sku0395,Toilets,4219.2
sku0396,Showers,1905.08
sku0397,Faucets,3749.29
sku0398,Faucets,2555.71
sku0399,Toilets,2704.76
sku0400,Showers,4797.17
sku0401,Showers,4019.8
sku0402,Toilets,161.62
sku0403,Faucets,3546.94
sku0404,Misc,2325.01
sku0405,Misc,4737.74
sku0406,Showers,1107.16
sku0407,Showers,1335.36
sku0408,Showers,407.37
sku0409,Showers,2143.09
sku0410,Showers,545.09
sku0411,Toilets,3168.93
sku0412,Showers,4014.82
sku0413,Misc,3484.0
sku0414,Faucets,3831.06
sku0415,Misc,1712.27
sku0416,Toilets,4229.26
sku0417,Faucets,2143.84
sku0418,Toilets,4120.05
sku0419,Toilets,3132.48
sku0420,Toilets,717.12
sku0421,Toilets,391.93
sku0422,Faucets,91.66
sku0423,Toilets,333.62
sku0424,Toilets,2292.92
sku0425,Misc,566.71
sku0426,Faucets,138.92
sku0427,Misc,3774.31
sku0428,Misc,1974.25
sku0429,Showers,3734.69
sku0430,Showers,2262.02
sku0431,Faucets,2250.43
sku0432,Misc,2390.36
sku0433,Showers,2370.02
sku0434,Misc,4015.82
sku0435,Faucets,2011.96
sku0436,Faucets,4523.43
sku0437,Showers,185.31
sku0438,Misc,3869.37
sku0439,Showers,628.21
sku0440,Misc,3092.57
sku0441,Toilets,51.82
sku0442,Misc,2693.14
sku0443,Showers,15.09
sku0444,Misc,4755.97
sku0445,Misc,4527.01
sku0446,Misc,3979.83
sku0447,Toilets,4576.37
sku0448,Faucets,727.79
sku0449,Faucets,788.65
sku0450,Showers,938.16
sku0451,Faucets,3112.48
sku0452,Faucets,4529.05
sku0453,Misc,4949.78
sku0454,Faucets,3555.61
sku0455,Toilets,3659.0
sku0456,Toilets,4546.47
sku0457,Misc,2004.37
sku0458,Toilets,1249.25
sku0459,Misc,867.15
sku0460,Faucets,597.29
sku0461,Misc,4063.05
sku0462,Showers,733.96
sku0463,Faucets,1321.49
sku0464,Toilets,4095.45
sku0465,Toilets,1552.94
sku0466,Toilets,4912.09
sku0467,Faucets,1333.19
sku0468,Toilets,2668.27
sku0469,Misc,1572.34
sku0470,Misc,4553.86
sku0471,Misc,1832.78
sku0472,Faucets,2167.96
sku0473,Toilets,2561.46
sku0474,Faucets,4694.43
sku0475,Faucets,154.75
sku0476,Faucets,3584.39
sku0477,Misc,4455.09
sku0478,Toilets,136.44
sku0479,Toilets,2610.26
sku0480,Misc,1629.95
sku0481,Showers,4297.45
sku0482,Misc,2792.58
sku0483,Showers,3451.14
sku0484,Misc,2264.27
sku0485,Toilets,3141.55
sku0486,Showers,1450.48
sku0487,Faucets,46.74
sku0488,Toilets,2883.78
sku0489,Faucets,1557.22
sku0490,Misc,2586.34
sku0491,Showers,4582.03
sku0492,Misc,2132.37
sku0493,Misc,1236.98
sku0494,Faucets,1856.47
sku0495,Showers,4659.31
sku0496,Showers,4684.34
sku0497,Misc,4221.65
sku0498,Faucets,4601.03
sku0499,Showers,1139.5
sku0500,Showers,437.41
sku0501,Toilets,1136.55
sku0502,Showers,1571.88
sku0503,Toilets,873.83
sku0504,Misc,3035.47
sku0505,Showers,2067.93
sku0506,Toilets,4081.76
sku0507,Misc,925.65
sku0508,Faucets,3509.38
sku0509,Showers,1201.78
sku0510,Toilets,2871.1
sku0511,Misc,1744.94
sku0512,Misc,284.82
sku0513,Showers,1144.07
sku0514,Misc,3320.51
sku0515,Showers,2486.25
sku0516,Misc,2595.08
sku0517,Faucets,873.6
sku0518,Toilets,2853.58
sku0519,Misc,4983.77
sku0520,Showers,4084.18
sku0521,Toilets,2971.86
sku0522,Showers,4879.95
sku0523,Toilets,4507.81
sku0524,Showers,2978.04
sku0525,Showers,162.13
sku0526,Toilets,467.89
sku0527,Showers,326.86
sku0528,Faucets,2258.67
sku0529,Showers,1877.17
sku0530,Faucets,4876.75
sku0531,Misc,839.92
sku0532,Misc,4863.94
sku0533,Showers,3837.37
sku0534,Toilets,4121.19
sku0535,Toilets,3163.08
sku0536,Misc,3343.66
sku0537,Faucets,2384.41
sku0538,Faucets,65.68
sku0539,Faucets,1765.03
sku0540,Misc,2460.36
sku0541,Toilets,3650.46
sku0542,Toilets,2343.14
sku0543,Toilets,2287.02
sku0544,Toilets,688.31
sku0545,Showers,54.44
sku0546,Faucets,3791.39
sku0547,Faucets,1599.76
sku0548,Showers,4921.92
sku0549,Toilets,1101.17
sku0550,Misc,1693.54
sku0551,Faucets,2619.48
sku0552,Showers,3774.46
sku0553,Showers,2319.29
sku0554,Faucets,624.11
sku0555,Faucets,1562.51
sku0556,Toilets,2522.6
sku0557,Misc,3369.25
sku0558,Toilets,3850.75
sku0559,Faucets,651.68
sku0560,Toilets,114.58
sku0561,Faucets,2595.41
sku0562,Showers,4049.94
sku0563,Toilets,63.02
sku0564,Faucets,3362.35
sku0565,Showers,3434.04
sku0566,Showers,2246.23
sku0567,Faucets,4573.94
sku0568,Faucets,3221.81
sku0569,Misc,26.2
sku0570,Toilets,2422.14
sku0571,Misc,4296.59
sku0572,Toilets,4152.0
sku0573,Faucets,3245.77
sku0574,Misc,3368.49
sku0575,Faucets,2892.5
sku0576,Toilets,1370.6
sku0577,Misc,2802.65
sku0578,Faucets,3358.65
sku0579,Faucets,1762.15
sku0580,Misc,4279.14
sku0581,Toilets,975.19
sku0582,Showers,3736.6
sku0583,Faucets,1448.01
sku0584,Showers,3869.0
sku0585,Toilets,2138.69
sku0586,Faucets,4038.49
sku0587,Faucets,1767.67
sku0588,Toilets,1068.47
sku0589,Showers,3836.42
sku0590,Faucets,1543.21
sku0591,Misc,3666.23
sku0592,Showers,3722.37
sku0593,Toilets,1106.98
sku0594,Toilets,1070.56
sku0595,Misc,994.74
sku0596,Toilets,712.59
sku0597,Toilets,1885.41
sku0598,Faucets,133.14
sku0599,Toilets,554.6
sku0600,Faucets,3372.82
sku0601,Faucets,3998.88
sku0602,Faucets,402.65
sku0603,Showers,1158.51
sku0604,Toilets,1038.13
sku0605,Showers,4586.67
sku0606,Misc,3556.57
sku0607,Toilets,2769.42
sku0608,Faucets,1522.59
sku0609,Toilets,4174.27
sku0610,Faucets,2176.53
sku0611,Showers,4617.28
sku0612,Misc,3530.26
sku0613,Toilets,2390.16
sku0614,Misc,631.05
sku0615,Faucets,4880.22
sku0616,Showers,799.17
sku0617,Toilets,1013.01
sku0618,Toilets,2155.91
sku0619,Toilets,2496.0946401712135
sku0620,Faucets,733.76
sku0621,Toilets,3646.59
sku0622,Showers,943.73
sku0623,Showers,3219.48
sku0624,Toilets,3771.53
sku0625,Showers,1053.66
sku0626,Faucets,3004.77
sku0627,Misc,3744.64
sku0628,Faucets,3191.09
sku0629,Toilets,2985.64
sku0630,Toilets,1477.41
sku0631,Showers,3658.03
sku0632,Misc,4726.54
sku0633,Faucets,2127.81
sku0634,Toilets,3910.91
sku0635,Toilets,280.71
sku0636,Toilets,4176.36
sku0637,Showers,961.25
sku0638,Faucets,1975.48
sku0639,Toilets,1500.41
sku0640,Faucets,400.52
sku0641,Faucets,4523.16
sku0642,Showers,1850.77
sku0643,Misc,2653.49
sku0644,Toilets,2470.58
sku0645,Faucets,660.81
sku0646,Showers,1032.27
sku0647,Showers,380.94
sku0648,Showers,2539.61
sku0649,Misc,1307.75
sku0650,Showers,1785.31
sku0651,Faucets,540.33
sku0652,Toilets,3937.76
sku0653,Showers,532.92
sku0654,Showers,4928.54
sku0655,Faucets,885.81
sku0656,Misc,2862.03
sku0657,Faucets,224.23
sku0658,Faucets,3935.58
sku0659,Showers,948.03
sku0660,Showers,2639.52
sku0661,Showers,3700.39
sku0662,Misc,749.66
sku0663,Faucets,2755.44
sku0664,Misc,1083.09
sku0665,Faucets,3795.98
sku0666,Toilets,3614.58
sku0667,Faucets,882.75
sku0668,Misc,4309.83
sku0669,Showers,98.88
sku0670,Showers,4301.18
sku0671,Misc,2794.52
sku0672,Misc,2016.1
sku0673,Showers,3793.73
sku0674,Toilets,3584.65
sku0675,Faucets,4936.63
sku0676,Toilets,1390.43
sku0677,Toilets,18.97
sku0678,Faucets,4669.51
sku0679,Showers,4289.49
sku0680,Faucets,3644.25
sku0681,Showers,2583.44
sku0682,Faucets,3534.78
sku0683,Faucets,3902.65
sku0684,Showers,1874.38
sku0685,Showers,3851.61
sku0686,Toilets,3753.12
sku0687,Misc,3066.06
sku0688,Showers,2009.33
sku0689,Misc,3486.54
sku0690,Misc,15.56
sku0691,Faucets,3874.48
sku0692,Misc,4482.08
sku0693,Misc,1196.58
sku0694,Faucets,603.84
sku0695,Misc,1101.42
sku0696,Toilets,1510.48
sku0697,Showers,4415.14
sku0698,Faucets,2715.83
sku0699,Misc,1433.56
sku0700,Faucets,691.77
sku0701,Faucets,1450.72
sku0702,Toilets,3069.36
sku0703,Toilets,1620.69
sku0704,Toilets,2286.8
sku0705,Showers,2220.59
sku0706,Misc,4140.68
sku0707,Toilets,2131.74
sku0708,Misc,1728.49
sku0709,Misc,3374.86
sku0710,Toilets,1107.41
sku0711,Toilets,2336.23
sku0712,Toilets,1573.83
sku0713,Toilets,3134.28
sku0714,Showers,4386.8
sku0715,Toilets,2238.45
sku0716,Showers,3922.29
sku0717,Faucets,2284.83
sku0718,Toilets,3281.15
sku0719,Showers,659.2
sku0720,Showers,2164.91
sku0721,Toilets,4546.56
sku0722,Faucets,3027.4
sku0723,Showers,3833.87
sku0724,Misc,2523.5
sku0725,Toilets,2490.28
sku0726,Toilets,4214.5
sku0727,Showers,339.03
sku0728,Misc,2866.36
sku0729,Showers,4713.81
sku0730,Showers,2589.3
sku0731,Toilets,972.33
sku0732,Faucets,4239.7
sku0733,Toilets,1258.2
sku0734,Faucets,3503.63
sku0735,Faucets,2701.3
sku0736,Misc,4744.18
sku0737,Showers,3121.68
sku0738,Misc,4189.89
sku0739,Showers,39.66
sku0740,Showers,4946.7
sku0741,Toilets,388.57
sku0742,Showers,1610.65
sku0743,Faucets,4730.76
sku0744,Misc,44.7
sku0745,Showers,4113.65
sku0746,Misc,4306.06
sku0747,Showers,2199.15
sku0748,Faucets,1278.73
sku0749,Faucets,4013.45
sku0750,Toilets,2389.31
sku0751,Misc,671.69
sku0752,Faucets,4639.24
sku0753,Faucets,4479.85
sku0754,Toilets,2457.73
sku0755,Toilets,4283.51
sku0756,Showers,2092.89
sku0757,Showers,3417.32
sku0758,Toilets,1989.95
sku0759,Showers,2528.71
sku0760,Toilets,947.76
sku0761,Misc,4824.94
sku0762,Misc,1471.08
sku0763,Faucets,517.3
sku0764,Misc,721.58
sku0765,Showers,70.46
sku0766,Toilets,3579.73
sku0767,Misc,2822.49
sku0768,Toilets,3972.89
sku0769,Showers,2535.4
sku0770,Toilets,3959.11
sku0771,Misc,3478.82
sku0772,Showers,3889.24
sku0773,Misc,2032.41
sku0774,Misc,3238.85
sku0775,Showers,898.97
sku0776,Misc,1609.1
sku0777,Toilets,863.02
sku0778,Toilets,2043.19
sku0779,Showers,1207.09
sku0780,Showers,2034.61
sku0781,Toilets,4876.11
sku0782,Showers,1601.6
sku0783,Faucets,4912.45
sku0784,Toilets,3181.53
sku0785,Toilets,1875.46
sku0786,Misc,4287.42
sku0787,Toilets,3097.93
sku0788,Faucets,1260.17
sku0789,Toilets,3964.28
sku0790,Misc,2164.69
sku0791,Showers,1787.56
sku0792,Showers,1651.38
sku0793,Toilets,3486.84
sku0794,Faucets,1343.25
sku0795,Toilets,4041.39
sku0796,Misc,1476.44
sku0797,Showers,2720.61
sku0798,Faucets,2439.61
sku0799,Toilets,4276.78
sku0800,Misc,4441.93
sku0801,Misc,921.92
sku0802,Showers,2926.74
sku0803,Misc,4491.03
sku0804,Faucets,2230.59
sku0805,Misc,4609.34
sku0806,Misc,1394.95
sku0807,Faucets,3044.16
sku0808,Showers,3412.27
sku0809,Faucets,1141.03
sku0810,Toilets,68.84
sku0811,Toilets,2083.62
sku0812,Toilets,4692.41
sku0813,Faucets,1715.14
sku0814,Misc,3898.72
sku0815,Showers,873.68
sku0816,Misc,1709.76
sku0817,Misc,722.99
sku0818,Faucets,3583.85
sku0819,Misc,3496.54
sku0820,Showers,3442.49
sku0821,Toilets,1266.98
sku0822,Misc,3461.8
sku0823,Showers,1136.49
sku0824,Toilets,2123.25
sku0825,Faucets,1859.61
sku0826,Misc,1776.54
sku0827,Faucets,288.27
sku0828,Faucets,3158.23
sku0829,Misc,3536.58
sku0830,Faucets,3067.94
sku0831,Misc,3241.56
sku0832,Toilets,849.7
sku0833,Showers,747.23
sku0834,Showers,2570.88
sku0835,Showers,4376.66
sku0836,Misc,919.77
sku0837,Toilets,2314.2
sku0838,Showers,2144.66
sku0839,Misc,2486.45
sku0840,Faucets,807.55
sku0841,Misc,1712.2
sku0842,Faucets,1309.4
sku0843,Faucets,4222.63
sku0844,Faucets,4001.66
sku0845,Toilets,2133.2
sku0846,Faucets,3035.08
sku0847,Faucets,727.33
sku0848,Faucets,2548.07
sku0849,Misc,1484.74
sku0850,Faucets,4298.25
sku0851,Misc,3357.99
sku0852,Toilets,3167.37
sku0853,Misc,623.76
sku0854,Faucets,2352.94
sku0855,Toilets,4932.86
sku0856,Toilets,4741.5
sku0857,Showers,3225.43
sku0858,Toilets,758.62
sku0859,Misc,3195.63
sku0860,Misc,2828.31
sku0861,Toilets,2343.33
sku0862,Misc,2140.19
sku0863,Showers,2996.35
sku0864,Toilets,4249.85
sku0865,Showers,3755.61
sku0866,Showers,2896.8
sku0867,Misc,4623.52
sku0868,Showers,323.7
sku0869,Showers,4956.73
sku0870,Misc,264.97
sku0871,Faucets,997.48
sku0872,Faucets,2113.76
sku0873,Misc,537.54
sku0874,Toilets,3118.35
sku0875,Misc,239.96
sku0876,Faucets,1423.12
sku0877,Misc,305.18
sku0878,Showers,3517.6
sku0879,Faucets,3342.28
sku0880,Misc,1892.9
sku0881,Misc,940.97
sku0882,Misc,3735.02
sku0883,Toilets,1701.9
sku0884,Toilets,3976.51
sku0885,Toilets,2439.5
sku0886,Toilets,2628.35
sku0887,Showers,142.45
sku0888,Misc,3221.16
sku0889,Toilets,1753.28
sku0890,Misc,1146.03
sku0891,Toilets,2169.42
sku0892,Misc,1912.34
sku0893,Misc,2348.95
sku0894,Showers,4897.42
sku0895,Showers,1821.89
sku0896,Toilets,3872.05
sku0897,Showers,2763.84
sku0898,Misc,4445.66
sku0899,Faucets,1774.76
sku0900,Toilets,1227.59
sku0901,Faucets,4555.1
sku0902,Faucets,217.67
sku0903,Faucets,4753.77
sku0904,Showers,2782.03
sku0905,Toilets,1881.82
sku0906,Faucets,4975.26
sku0907,Showers,291.81
sku0908,Faucets,2583.53
sku0909,Faucets,155.49
sku0910,Toilets,2855.88
sku0911,Showers,902.34
sku0912,Faucets,3154.8
sku0913,Showers,4904.62
sku0914,Faucets,4374.51
sku0915,Toilets,2259.18
sku0916,Toilets,3542.3
sku0917,Misc,3887.34
sku0918,Toilets,2474.22
sku0919,Misc,2642.67
sku0920,Toilets,753.92
sku0921,Misc,1847.0
sku0922,Faucets,711.11
sku0923,Faucets,3634.47
sku0924,Showers,2385.06
sku0925,Faucets,2244.39
sku0926,Toilets,4429.99
sku0927,Toilets,2638.09
sku0928,Misc,2045.45
sku0929,Faucets,1344.46
sku0930,Showers,360.06
sku0931,Faucets,2090.68
sku0932,Faucets,128.77
sku0933,Toilets,1455.77
sku0934,Toilets,2517.55
sku0935,Faucets,4829.67
sku0936,Faucets,546.91
sku0937,Toilets,3365.21
sku0938,Toilets,2499.66
sku0939,Toilets,3885.49
sku0940,Showers,718.03
sku0941,Misc,416.01
sku0942,Showers,1996.09
sku0943,Misc,3984.81
sku0944,Misc,958.38
sku0945,Toilets,3838.89
sku0946,Misc,1451.49
sku0947,Showers,1084.46
sku0948,Misc,83.58
sku0949,Showers,1993.3
sku0950,Toilets,1905.41
sku0951,Misc,3296.72
sku0952,Faucets,354.59
sku0953,Misc,763.02
sku0954,Toilets,82.88
sku0955,Showers,568.98
sku0956,Misc,3258.95
sku0957,Toilets,2013.28
sku0958,Showers,1605.13
sku0959,Faucets,2789.56
sku0960,Misc,4967.3
sku0961,Misc,4172.43
sku0962,Misc,3498.12
sku0963,Faucets,4591.29
sku0964,Faucets,198.64
sku0965,Faucets,351.67
sku0966,Showers,2370.03
sku0967,Toilets,1745.84
sku0968,Showers,4686.26
sku0969,Faucets,2447.82
sku0970,Showers,2698.25
sku0971,Faucets,4476.3
sku0972,Showers,2233.18
sku0973,Showers,4385.17
sku0974,Misc,1267.91
sku0975,Toilets,1369.05
